prefix,opcode_hex,status,mnemonic,bytes,t_states,flags
NONE,31,VALID,"LD SP,nn",3,10,------
NONE,32,VALID,"LD (nn),A",3,13,------
NONE,33,VALID,"INC SP",1,6,------
NONE,34,VALID,"INC (HL)",1,11,***-0-
NONE,35,VALID,"DEC (HL)",1,11,***-1-
NONE,36,VALID,"LD (HL),n",2,10,------
NONE,37,VALID,"SCF",1,4,--0-01
NONE,38,VALID,"JR C,e",2,12,------
NONE,39,VALID,"ADD HL,SP",1,11,--*-0*
NONE,3A,VALID,"LD A,(nn)",3,13,------
NONE,3B,VALID,"DEC SP",1,6,------
NONE,3C,VALID,"INC A",1,4,***-0-
NONE,3D,VALID,"DEC A",1,4,***-1-
NONE,3E,VALID,"LD A,n",2,7,------
NONE,3F,VALID,"CCF",1,4,--*-0*
NONE,40,VALID,"LD B,B",1,4,------
NONE,41,VALID,"LD B,C",1,4,------
NONE,42,VALID,"LD B,D",1,4,------
NONE,43,VALID,"LD B,E",1,4,------
NONE,44,VALID,"LD B,H",1,4,------
NONE,45,VALID,"LD B,L",1,4,------
NONE,46,VALID,"LD B,(HL)",1,7,------
NONE,47,VALID,"LD B,A",1,4,------
NONE,48,VALID,"LD C,B",1,4,------
NONE,49,VALID,"LD C,C",1,4,------
NONE,4A,VALID,"LD C,D",1,4,------
NONE,4B,VALID,"LD C,E",1,4,------
NONE,4C,VALID,"LD C,H",1,4,------
NONE,4D,VALID,"LD C,L",1,4,------
NONE,4E,VALID,"LD C,(HL)",1,7,------
NONE,4F,VALID,"LD C,A",1,4,------
NONE,50,VALID,"LD D,B",1,4,------
NONE,51,VALID,"LD D,C",1,4,------
NONE,52,VALID,"LD D,D",1,4,------
NONE,53,VALID,"LD D,E",1,4,------
NONE,54,VALID,"LD D,H",1,4,------
NONE,55,VALID,"LD D,L",1,4,------
NONE,56,VALID,"LD D,(HL)",1,7,------
NONE,57,VALID,"LD D,A",1,4,------
NONE,58,VALID,"LD E,B",1,4,------
NONE,59,VALID,"LD E,C",1,4,------
NONE,5A,VALID,"LD E,D",1,4,------
NONE,5B,VALID,"LD E,E",1,4,------
NONE,5C,VALID,"LD E,H",1,4,------
NONE,5D,VALID,"LD E,L",1,4,------
NONE,5E,VALID,"LD E,(HL)",1,7,------
NONE,5F,VALID,"LD E,A",1,4,------
NONE,60,VALID,"LD H,B",1,4,------
NONE,61,VALID,"LD H,C",1,4,------
NONE,62,VALID,"LD H,D",1,4,------
NONE,63,VALID,"LD H,E",1,4,------
NONE,64,VALID,"LD H,H",1,4,------
NONE,65,VALID,"LD H,L",1,4,------
NONE,66,VALID,"LD H,(HL)",1,7,------
NONE,67,VALID,"LD H,A",1,4,------
NONE,68,VALID,"LD L,B",1,4,------
NONE,69,VALID,"LD L,C",1,4,------
NONE,6A,VALID,"LD L,D",1,4,------
NONE,6B,VALID,"LD L,E",1,4,------
NONE,6C,VALID,"LD L,H",1,4,------
NONE,6D,VALID,"LD L,L",1,4,------
NONE,6E,VALID,"LD L,(HL)",1,7,------
NONE,6F,VALID,"LD L,A",1,4,------
NONE,70,VALID,"LD (HL),B",1,7,------
NONE,71,VALID,"LD (HL),C",1,7,------
NONE,72,VALID,"LD (HL),D",1,7,------
NONE,73,VALID,"LD (HL),E",1,7,------
NONE,74,VALID,"LD (HL),H",1,7,------
NONE,75,VALID,"LD (HL),L",1,7,------
NONE,76,VALID,"HALT",1,4,------
NONE,77,VALID,"LD (HL),A",1,7,------
NONE,78,VALID,"LD A,B",1,4,------
NONE,79,VALID,"LD A,C",1,4,------
NONE,7A,VALID,"LD A,D",1,4,------
NONE,7B,VALID,"LD A,E",1,4,------
NONE,7C,VALID,"LD A,H",1,4,------
NONE,7D,VALID,"LD A,L",1,4,------
NONE,7E,VALID,"LD A,(HL)",1,7,------
NONE,7F,VALID,"LD A,A",1,4,------
NONE,80,VALID,"ADD A,B",1,4,***-0*
NONE,81,VALID,"ADD A,C",1,4,***-0*
NONE,82,VALID,"ADD A,D",1,4,***-0*
NONE,83,VALID,"ADD A,E",1,4,***-0*
NONE,84,VALID,"ADD A,H",1,4,***-0*
NONE,85,VALID,"ADD A,L",1,4,***-0*
NONE,86,VALID,"ADD A,(HL)",1,7,***-0*
NONE,87,VALID,"ADD A,A",1,4,***-0*
NONE,88,VALID,"ADC A,B",1,4,***-0*
NONE,89,VALID,"ADC A,C",1,4,***-0*
NONE,8A,VALID,"ADC A,D",1,4,***-0*
NONE,8B,VALID,"ADC A,E",1,4,***-0*
NONE,8C,VALID,"ADC A,H",1,4,***-0*
NONE,8D,VALID,"ADC A,L",1,4,***-0*
NONE,8E,VALID,"ADC A,(HL)",1,7,***-0*
NONE,8F,VALID,"ADC A,A",1,4,***-0*
NONE,90,VALID,"SUB B",1,4,***-1*
NONE,91,VALID,"SUB C",1,4,***-1*
NONE,92,VALID,"SUB D",1,4,***-1*
NONE,93,VALID,"SUB E",1,4,***-1*
NONE,94,VALID,"SUB H",1,4,***-1*
NONE,95,VALID,"SUB L",1,4,***-1*
NONE,96,VALID,"SUB (HL)",1,7,***-1*
NONE,97,VALID,"SUB A",1,4,***-1*
NONE,98,VALID,"SBC A,B",1,4,***-1*
NONE,99,VALID,"SBC A,C",1,4,***-1*
NONE,9A,VALID,"SBC A,D",1,4,***-1*
NONE,9B,VALID,"SBC A,E",1,4,***-1*
NONE,9C,VALID,"SBC A,H",1,4,***-1*
NONE,9D,VALID,"SBC A,L",1,4,***-1*
NONE,9E,VALID,"SBC A,(HL)",1,7,***-1*
NONE,9F,VALID,"SBC A,A",1,4,***-1*
NONE,A0,VALID,"AND B",1,4,**1-00
NONE,A1,VALID,"AND C",1,4,**1-00
NONE,A2,VALID,"AND D",1,4,**1-00
NONE,A3,VALID,"AND E",1,4,**1-00
NONE,A4,VALID,"AND H",1,4,**1-00
NONE,A5,VALID,"AND L",1,4,**1-00
NONE,A6,VALID,"AND (HL)",1,7,**1-00
NONE,A7,VALID,"AND A",1,4,**1-00
NONE,A8,VALID,"XOR B",1,4,**0-00
NONE,A9,VALID,"XOR C",1,4,**0-00
NONE,AA,VALID,"XOR D",1,4,**0-00
NONE,AB,VALID,"XOR E",1,4,**0-00
NONE,AC,VALID,"XOR H",1,4,**0-00
NONE,AD,VALID,"XOR L",1,4,**0-00
NONE,AE,VALID,"XOR (HL)",1,7,**0-00
NONE,AF,VALID,"XOR A",1,4,**0-00
NONE,B0,VALID,"OR B",1,4,**0-00
NONE,B1,VALID,"OR C",1,4,**0-00
NONE,B2,VALID,"OR D",1,4,**0-00
NONE,B3,VALID,"OR E",1,4,**0-00
NONE,B4,VALID,"OR H",1,4,**0-00
NONE,B5,VALID,"OR L",1,4,**0-00
NONE,B6,VALID,"OR (HL)",1,7,**0-00
NONE,B7,VALID,"OR A",1,4,**0-00
NONE,B8,VALID,"CP B",1,4,***-1*
NONE,B9,VALID,"CP C",1,4,***-1*
NONE,BA,VALID,"CP D",1,4,***-1*
NONE,BB,VALID,"CP E",1,4,***-1*
NONE,BC,VALID,"CP H",1,4,***-1*
NONE,BD,VALID,"CP L",1,4,***-1*
NONE,BE,VALID,"CP (HL)",1,7,***-1*
NONE,BF,VALID,"CP A",1,4,***-1*
NONE,C0,VALID,"RET NZ",1,11,------
NONE,C1,VALID,"POP BC",1,10,------
NONE,C2,VALID,"JP NZ,nn",3,10,------
NONE,C3,VALID,"JP nn",3,10,------
NONE,C4,VALID,"CALL NZ,nn",3,17,------
NONE,C5,VALID,"PUSH BC",1,11,------
NONE,C6,VALID,"ADD A,n",2,7,***-0*
NONE,C7,VALID,"RST 00H",1,11,------
NONE,C8,VALID,"RET Z",1,11,------
NONE,C9,VALID,"RET",1,10,------
NONE,CA,VALID,"JP Z,nn",3,10,------
NONE,CB,VALID,"PREFIX CB",1,4,------
NONE,CC,VALID,"CALL Z,nn",3,17,------
NONE,CD,VALID,"CALL nn",3,17,------
NONE,CE,VALID,"ADC A,n",2,7,***-0*
NONE,CF,VALID,"RST 08H",1,11,------
NONE,D0,VALID,"RET NC",1,11,------
NONE,D1,VALID,"POP DE",1,10,------
NONE,D2,VALID,"JP NC,nn",3,10,------
NONE,D3,VALID,"OUT (n),A",2,11,------
NONE,D4,VALID,"CALL NC,nn",3,17,------
NONE,D5,VALID,"PUSH DE",1,11,------
NONE,D6,VALID,"SUB n",2,7,***-1*
NONE,D7,VALID,"RST 10H",1,11,------
NONE,D8,VALID,"RET C",1,11,------
NONE,D9,VALID,"EXX",1,4,------
NONE,DA,VALID,"JP C,nn",3,10,------
NONE,DB,VALID,"IN A,(n)",2,11,------
NONE,DC,VALID,"CALL C,nn",3,17,------
NONE,DD,VALID,"PREFIX DD",1,4,------
NONE,DE,VALID,"SBC A,n",2,7,***-1*
NONE,DF,VALID,"RST 18H",1,11,------
NONE,E0,VALID,"RET PO",1,11,------
NONE,E1,VALID,"POP HL",1,10,------
NONE,E2,VALID,"JP PO,nn",3,10,------
NONE,E3,VALID,"EX (SP),HL",1,19,------
NONE,E4,VALID,"CALL PO,nn",3,17,------
NONE,E5,VALID,"PUSH HL",1,11,------
NONE,E6,VALID,"AND n",2,7,**1-00
NONE,E7,VALID,"RST 20H",1,11,------
NONE,E8,VALID,"RET PE",1,11,------
NONE,E9,VALID,"JP (HL)",1,4,------
NONE,EA,VALID,"JP PE,nn",3,10,------
NONE,EB,VALID,"EX DE,HL",1,4,------
NONE,EC,VALID,"CALL PE,nn",3,17,------
NONE,ED,VALID,"PREFIX ED",1,4,------
NONE,EE,VALID,"XOR n",2,7,**0-00
NONE,EF,VALID,"RST 28H",1,11,------
NONE,F0,VALID,"RET P",1,11,------
NONE,F1,VALID,"POP AF",1,10,------
NONE,F2,VALID,"JP P,nn",3,10,------
NONE,F3,VALID,"DI",1,4,------
NONE,F4,VALID,"CALL P,nn",3,17,------
NONE,F5,VALID,"PUSH AF",1,11,------
NONE,F6,VALID,"OR n",2,7,**0-00
NONE,F7,VALID,"RST 30H",1,11,------
NONE,F8,VALID,"RET M",1,11,------
NONE,F9,VALID,"LD SP,HL",1,6,------
NONE,FA,VALID,"JP M,nn",3,10,------
NONE,FB,VALID,"EI",1,4,------
NONE,FC,VALID,"CALL M,nn",3,17,------
NONE,FD,VALID,"PREFIX FD",1,4,------
NONE,FE,VALID,"CP n",2,7,***-1*
NONE,FF,VALID,"RST 38H",1,11,------
CB,00,VALID,"RLC B",2,8,**0-0*
CB,01,VALID,"RLC C",2,8,**0-0*
CB,02,VALID,"RLC D",2,8,**0-0*
CB,03,VALID,"RLC E",2,8,**0-0*
CB,04,VALID,"RLC H",2,8,**0-0*
CB,05,VALID,"RLC L",2,8,**0-0*
CB,06,VALID,"RLC (HL)",2,15,**0-0*
CB,07,VALID,"RLC A",2,8,**0-0*
CB,08,VALID,"RRC B",2,8,**0-0*
CB,09,VALID,"RRC C",2,8,**0-0*
CB,0A,VALID,"RRC D",2,8,**0-0*
CB,0B,VALID,"RRC E",2,8,**0-0*
CB,0C,VALID,"RRC H",2,8,**0-0*
CB,0D,VALID,"RRC L",2,8,**0-0*
CB,0E,VALID,"RRC (HL)",2,15,**0-0*
CB,0F,VALID,"RRC A",2,8,**0-0*
CB,10,VALID,"RL B",2,8,**0-0*
CB,11,VALID,"RL C",2,8,**0-0*
CB,12,VALID,"RL D",2,8,**0-0*
CB,13,VALID,"RL E",2,8,**0-0*
CB,14,VALID,"RL H",2,8,**0-0*
CB,15,VALID,"RL L",2,8,**0-0*
CB,16,VALID,"RL (HL)",2,15,**0-0*
CB,17,VALID,"RL A",2,8,**0-0*
CB,18,VALID,"RR B",2,8,**0-0*
CB,19,VALID,"RR C",2,8,**0-0*
CB,1A,VALID,"RR D",2,8,**0-0*
CB,1B,VALID,"RR E",2,8,**0-0*
CB,1C,VALID,"RR H",2,8,**0-0*
CB,1D,VALID,"RR L",2,8,**0-0*
CB,1E,VALID,"RR (HL)",2,15,**0-0*
CB,1F,VALID,"RR A",2,8,**0-0*
CB,20,VALID,"SLA B",2,8,**0-0*
CB,21,VALID,"SLA C",2,8,**0-0*
CB,22,VALID,"SLA D",2,8,**0-0*
CB,23,VALID,"SLA E",2,8,**0-0*
CB,24,VALID,"SLA H",2,8,**0-0*
CB,25,VALID,"SLA L",2,8,**0-0*
CB,26,VALID,"SLA (HL)",2,15,**0-0*
CB,27,VALID,"SLA A",2,8,**0-0*
CB,28,VALID,"SRA B",2,8,**0-0*
CB,29,VALID,"SRA C",2,8,**0-0*
CB,2A,VALID,"SRA D",2,8,**0-0*
CB,2B,VALID,"SRA E",2,8,**0-0*
CB,2C,VALID,"SRA H",2,8,**0-0*
CB,2D,VALID,"SRA L",2,8,**0-0*
CB,2E,VALID,"SRA (HL)",2,15,**0-0*
CB,2F,VALID,"SRA A",2,8,**0-0*
CB,30,VALID,"SLL,B",2,8,**0-0*
CB,31,VALID,"SLL,C",2,8,**0-0*
CB,32,VALID,"SLL,D",2,8,**0-0*
CB,33,VALID,"SLL,E",2,8,**0-0*
CB,34,VALID,"SLL,H",2,8,**0-0*
CB,35,VALID,"SLL,L",2,8,**0-0*
CB,36,VALID,"SLL,(HL)",2,15,**0-0*
CB,37,VALID,"SLL,A",2,8,**0-0*
CB,38,VALID,"SRL B",2,8,**0-0*
CB,39,VALID,"SRL C",2,8,**0-0*
CB,3A,VALID,"SRL D",2,8,**0-0*
CB,3B,VALID,"SRL E",2,8,**0-0*
CB,3C,VALID,"SRL H",2,8,**0-0*
CB,3D,VALID,"SRL L",2,8,**0-0*
CB,3E,VALID,"SRL (HL)",2,15,**0-0*
CB,3F,VALID,"SRL A",2,8,**0-0*
CB,40,VALID,"BIT 0,B",2,8,**1-0-
CB,41,VALID,"BIT 0,C",2,8,**1-0-
CB,42,VALID,"BIT 0,D",2,8,**1-0-
CB,43,VALID,"BIT 0,E",2,8,**1-0-
CB,44,VALID,"BIT 0,H",2,8,**1-0-
CB,45,VALID,"BIT 0,L",2,8,**1-0-
CB,46,VALID,"BIT 0,(HL)",2,12,**1-0-
CB,47,VALID,"BIT 0,A",2,8,**1-0-
CB,48,VALID,"BIT 1,B",2,8,**1-0-
CB,49,VALID,"BIT 1,C",2,8,**1-0-
CB,4A,VALID,"BIT 1,D",2,8,**1-0-
CB,4B,VALID,"BIT 1,E",2,8,**1-0-
CB,4C,VALID,"BIT 1,H",2,8,**1-0-
CB,4D,VALID,"BIT 1,L",2,8,**1-0-
CB,4E,VALID,"BIT 1,(HL)",2,12,**1-0-
CB,4F,VALID,"BIT 1,A",2,8,**1-0-
CB,50,VALID,"BIT 2,B",2,8,**1-0-
CB,51,VALID,"BIT 2,C",2,8,**1-0-
CB,52,VALID,"BIT 2,D",2,8,**1-0-
CB,53,VALID,"BIT 2,E",2,8,**1-0-
CB,54,VALID,"BIT 2,H",2,8,**1-0-
CB,55,VALID,"BIT 2,L",2,8,**1-0-
CB,56,VALID,"BIT 2,(HL)",2,12,**1-0-
CB,57,VALID,"BIT 2,A",2,8,**1-0-
CB,58,VALID,"BIT 3,B",2,8,**1-0-
CB,59,VALID,"BIT 3,C",2,8,**1-0-
CB,5A,VALID,"BIT 3,D",2,8,**1-0-
CB,5B,VALID,"BIT 3,E",2,8,**1-0-
CB,5C,VALID,"BIT 3,H",2,8,**1-0-
CB,5D,VALID,"BIT 3,L",2,8,**1-0-
CB,5E,VALID,"BIT 3,(HL)",2,12,**1-0-
CB,5F,VALID,"BIT 3,A",2,8,**1-0-
CB,60,VALID,"BIT 4,B",2,8,**1-0-
CB,61,VALID,"BIT 4,C",2,8,**1-0-
CB,62,VALID,"BIT 4,D",2,8,**1-0-
CB,63,VALID,"BIT 4,E",2,8,**1-0-
CB,64,VALID,"BIT 4,H",2,8,**1-0-
CB,65,VALID,"BIT 4,L",2,8,**1-0-
CB,66,VALID,"BIT 4,(HL)",2,12,**1-0-
CB,67,VALID,"BIT 4,A",2,8,**1-0-
CB,68,VALID,"BIT 5,B",2,8,**1-0-
CB,69,VALID,"BIT 5,C",2,8,**1-0-
CB,6A,VALID,"BIT 5,D",2,8,**1-0-
CB,6B,VALID,"BIT 5,E",2,8,**1-0-
CB,6C,VALID,"BIT 5,H",2,8,**1-0-
CB,6D,VALID,"BIT 5,L",2,8,**1-0-
CB,6E,VALID,"BIT 5,(HL)",2,12,**1-0-
CB,6F,VALID,"BIT 5,A",2,8,**1-0-
CB,70,VALID,"BIT 6,B",2,8,**1-0-
CB,71,VALID,"BIT 6,C",2,8,**1-0-
CB,72,VALID,"BIT 6,D",2,8,**1-0-
CB,73,VALID,"BIT 6,E",2,8,**1-0-
CB,74,VALID,"BIT 6,H",2,8,**1-0-
CB,75,VALID,"BIT 6,L",2,8,**1-0-
CB,76,VALID,"BIT 6,(HL)",2,12,**1-0-
CB,77,VALID,"BIT 6,A",2,8,**1-0-
CB,78,VALID,"BIT 7,B",2,8,**1-0-
CB,79,VALID,"BIT 7,C",2,8,**1-0-
CB,7A,VALID,"BIT 7,D",2,8,**1-0-
CB,7B,VALID,"BIT 7,E",2,8,**1-0-
CB,7C,VALID,"BIT 7,H",2,8,**1-0-
CB,7D,VALID,"BIT 7,L",2,8,**1-0-
CB,7E,VALID,"BIT 7,(HL)",2,12,**1-0-
CB,7F,VALID,"BIT 7,A",2,8,**1-0-
CB,80,VALID,"RES 0,B",2,8,------
CB,81,VALID,"RES 0,C",2,8,------
CB,82,VALID,"RES 0,D",2,8,------
CB,83,VALID,"RES 0,E",2,8,------
CB,84,VALID,"RES 0,H",2,8,------
CB,85,VALID,"RES 0,L",2,8,------
CB,86,VALID,"RES 0,(HL)",2,15,------
CB,87,VALID,"RES 0,A",2,8,------
CB,88,VALID,"RES 1,B",2,8,------
CB,89,VALID,"RES 1,C",2,8,------
CB,8A,VALID,"RES 1,D",2,8,------
CB,8B,VALID,"RES 1,E",2,8,------
CB,8C,VALID,"RES 1,H",2,8,------
CB,8D,VALID,"RES 1,L",2,8,------
CB,8E,VALID,"RES 1,(HL)",2,15,------
CB,8F,VALID,"RES 1,A",2,8,------
CB,90,VALID,"RES 2,B",2,8,------
CB,91,VALID,"RES 2,C",2,8,------
CB,92,VALID,"RES 2,D",2,8,------
CB,93,VALID,"RES 2,E",2,8,------
CB,94,VALID,"RES 2,H",2,8,------
CB,95,VALID,"RES 2,L",2,8,------
CB,96,VALID,"RES 2,(HL)",2,15,------
CB,97,VALID,"RES 2,A",2,8,------
CB,98,VALID,"RES 3,B",2,8,------
CB,99,VALID,"RES 3,C",2,8,------
CB,9A,VALID,"RES 3,D",2,8,------
CB,9B,VALID,"RES 3,E",2,8,------
CB,9C,VALID,"RES 3,H",2,8,------
CB,9D,VALID,"RES 3,L",2,8,------
CB,9E,VALID,"RES 3,(HL)",2,15,------
CB,9F,VALID,"RES 3,A",2,8,------
CB,A0,VALID,"RES 4,B",2,8,------
CB,A1,VALID,"RES 4,C",2,8,------
CB,A2,VALID,"RES 4,D",2,8,------
CB,A3,VALID,"RES 4,E",2,8,------
CB,A4,VALID,"RES 4,H",2,8,------
CB,A5,VALID,"RES 4,L",2,8,------
CB,A6,VALID,"RES 4,(HL)",2,15,------
CB,A7,VALID,"RES 4,A",2,8,------
CB,A8,VALID,"RES 5,B",2,8,------
CB,A9,VALID,"RES 5,C",2,8,------
CB,AA,VALID,"RES 5,D",2,8,------
CB,AB,VALID,"RES 5,E",2,8,------
CB,AC,VALID,"RES 5,H",2,8,------
CB,AD,VALID,"RES 5,L",2,8,------
CB,AE,VALID,"RES 5,(HL)",2,15,------
CB,AF,VALID,"RES 5,A",2,8,------
CB,B0,VALID,"RES 6,B",2,8,------
CB,B1,VALID,"RES 6,C",2,8,------
CB,B2,VALID,"RES 6,D",2,8,------
CB,B3,VALID,"RES 6,E",2,8,------
CB,B4,VALID,"RES 6,H",2,8,------
CB,B5,VALID,"RES 6,L",2,8,------
CB,B6,VALID,"RES 6,(HL)",2,15,------
CB,B7,VALID,"RES 6,A",2,8,------
CB,B8,VALID,"RES 7,B",2,8,------
CB,B9,VALID,"RES 7,C",2,8,------
CB,BA,VALID,"RES 7,D",2,8,------
CB,BB,VALID,"RES 7,E",2,8,------
CB,BC,VALID,"RES 7,H",2,8,------
CB,BD,VALID,"RES 7,L",2,8,------
CB,BE,VALID,"RES 7,(HL)",2,15,------
CB,BF,VALID,"RES 7,A",2,8,------
CB,C0,VALID,"SET 0,B",2,8,------
CB,C1,VALID,"SET 0,C",2,8,------
CB,C2,VALID,"SET 0,D",2,8,------
CB,C3,VALID,"SET 0,E",2,8,------
CB,C4,VALID,"SET 0,H",2,8,------
CB,C5,VALID,"SET 0,L",2,8,------
CB,C6,VALID,"SET 0,(HL)",2,15,------
CB,C7,VALID,"SET 0,A",2,8,------
CB,C8,VALID,"SET 1,B",2,8,------
CB,C9,VALID,"SET 1,C",2,8,------
CB,CA,VALID,"SET 1,D",2,8,------
CB,CB,VALID,"SET 1,E",2,8,------
CB,CC,VALID,"SET 1,H",2,8,------
CB,CD,VALID,"SET 1,L",2,8,------
CB,CE,VALID,"SET 1,(HL)",2,15,------
CB,CF,VALID,"SET 1,A",2,8,------
CB,D0,VALID,"SET 2,B",2,8,------
CB,D1,VALID,"SET 2,C",2,8,------
CB,D2,VALID,"SET 2,D",2,8,------
CB,D3,VALID,"SET 2,E",2,8,------
CB,D4,VALID,"SET 2,H",2,8,------
CB,D5,VALID,"SET 2,L",2,8,------
CB,D6,VALID,"SET 2,(HL)",2,15,------
CB,D7,VALID,"SET 2,A",2,8,------
CB,D8,VALID,"SET 3,B",2,8,------
CB,D9,VALID,"SET 3,C",2,8,------
CB,DA,VALID,"SET 3,D",2,8,------
CB,DB,VALID,"SET 3,E",2,8,------
CB,DC,VALID,"SET 3,H",2,8,------
CB,DD,VALID,"SET 3,L",2,8,------
CB,DE,VALID,"SET 3,(HL)",2,15,------
CB,DF,VALID,"SET 3,A",2,8,------
CB,E0,VALID,"SET 4,B",2,8,------
CB,E1,VALID,"SET 4,C",2,8,------
CB,E2,VALID,"SET 4,D",2,8,------
CB,E3,VALID,"SET 4,E",2,8,------
CB,E4,VALID,"SET 4,H",2,8,------
CB,E5,VALID,"SET 4,L",2,8,------
CB,E6,VALID,"SET 4,(HL)",2,15,------
CB,E7,VALID,"SET 4,A",2,8,------
CB,E8,VALID,"SET 5,B",2,8,------
CB,E9,VALID,"SET 5,C",2,8,------
CB,EA,VALID,"SET 5,D",2,8,------
CB,EB,VALID,"SET 5,E",2,8,------
CB,EC,VALID,"SET 5,H",2,8,------
CB,ED,VALID,"SET 5,L",2,8,------
CB,EE,VALID,"SET 5,(HL)",2,15,------
CB,EF,VALID,"SET 5,A",2,8,------
CB,F0,VALID,"SET 6,B",2,8,------
CB,F1,VALID,"SET 6,C",2,8,------
CB,F2,VALID,"SET 6,D",2,8,------
CB,F3,VALID,"SET 6,E",2,8,------
CB,F4,VALID,"SET 6,H",2,8,------
CB,F5,VALID,"SET 6,L",2,8,------
CB,F6,VALID,"SET 6,(HL)",2,15,------
CB,F7,VALID,"SET 6,A",2,8,------
CB,F8,VALID,"SET 7,B",2,8,------
CB,F9,VALID,"SET 7,C",2,8,------
CB,FA,VALID,"SET 7,D",2,8,------
CB,FB,VALID,"SET 7,E",2,8,------
CB,FC,VALID,"SET 7,H",2,8,------
CB,FD,VALID,"SET 7,L",2,8,------
CB,FE,VALID,"SET 7,(HL)",2,15,------
CB,FF,VALID,"SET 7,A",2,8,------
ED,00,INVALID,"INVALID",2,8,------
ED,01,INVALID,"INVALID",2,8,------
ED,02,INVALID,"INVALID",2,8,------
ED,03,INVALID,"INVALID",2,8,------
ED,04,INVALID,"INVALID",2,8,------
ED,05,INVALID,"INVALID",2,8,------
ED,06,INVALID,"INVALID",2,8,------
ED,07,INVALID,"INVALID",2,8,------
ED,08,INVALID,"INVALID",2,8,------
ED,09,INVALID,"INVALID",2,8,------
ED,0A,INVALID,"INVALID",2,8,------
ED,0B,INVALID,"INVALID",2,8,------
ED,0C,INVALID,"INVALID",2,8,------
ED,0D,INVALID,"INVALID",2,8,------
ED,0E,INVALID,"INVALID",2,8,------
ED,0F,INVALID,"INVALID",2,8,------
ED,10,INVALID,"INVALID",2,8,------
ED,11,INVALID,"INVALID",2,8,------
ED,12,INVALID,"INVALID",2,8,------
ED,13,INVALID,"INVALID",2,8,------
ED,14,INVALID,"INVALID",2,8,------
ED,15,INVALID,"INVALID",2,8,------
ED,16,INVALID,"INVALID",2,8,------
ED,17,INVALID,"INVALID",2,8,------
ED,18,INVALID,"INVALID",2,8,------
ED,19,INVALID,"INVALID",2,8,------
ED,1A,INVALID,"INVALID",2,8,------
ED,1B,INVALID,"INVALID",2,8,------
ED,1C,INVALID,"INVALID",2,8,------
ED,1D,INVALID,"INVALID",2,8,------
ED,1E,INVALID,"INVALID",2,8,------
ED,1F,INVALID,"INVALID",2,8,------
ED,20,INVALID,"INVALID",2,8,------
ED,21,INVALID,"INVALID",2,8,------
ED,22,INVALID,"INVALID",2,8,------
ED,23,INVALID,"INVALID",2,8,------
ED,24,INVALID,"INVALID",2,8,------
ED,25,INVALID,"INVALID",2,8,------
ED,26,INVALID,"INVALID",2,8,------
ED,27,INVALID,"INVALID",2,8,------
ED,28,INVALID,"INVALID",2,8,------
ED,29,INVALID,"INVALID",2,8,------
